groupid,brand,title,our_price,cost,rrp,benchmark_avg,benchmark_min,benchmark_max,benchmark_clicks,suggested_avg,suggested_min,suggested_max,total_click_uplift,total_conversion_uplift,sizes_in_report,margin_at_current,margin_at_suggested
B710AP,Goor,Boys Goor Oxford Tie Leather Shoe Patent Black,27.0,13.98,30.0,25.15,20.9,35.7,7.0,25.5,25.5,25.5,0.41,0.43,10,48.2,45.2
D0700-22,Remonte,Womens Remonte Zip Shoes Brown,70.0,34.2,80.0,,47.14,79.99,0.0,66.82,65.6,67.2,2.2,2.52,6,51.1,48.8
D0772-15,Remonte,Womens Remonte Zip Boots Blue,80.0,38.4,90.0,,65.88,86.32,0.0,,,,,,6,52.0,
D0772-52,Remonte,Womens Remonte Zip Up Boots Green,81.0,38.4,90.0,,72.17,89.91,0.0,68.39,68.39,68.39,1.66,2.09,6,52.6,43.9
DLA003-JAYNE-KHAKI,Lunar,Womens Lunar Jayne II khaki trainer,20.0,11.99,35.0,23.36,23.36,23.36,3.0,,,,,,1,40.0,
ELZ006-LAKE-BL,Lunar,Womens Lazy Dogz Ankle Wellingtons Navy,35.0,17.5,45.0,34.97,34.74,39.27,4.0,29.05,28.8,29.25,20.12,20.85,5,50.0,39.8
ELZ006-LAKE-CR,Lunar,Womens Lazy Dogz Ankle Wellingtons Cream,35.0,17.5,45.0,39.49,35.52,42.62,1.0,31.5,31.5,31.5,2.26,2.46,5,50.0,44.4
ELZ006-LAKE-OL,Lunar,Womens Lazy Dogz Ankle Wellingtons Olive,35.0,17.5,45.0,40.04,35.47,40.53,10.0,31.91,31.5,32.84,3.25,3.34,5,50.0,45.2
ELZ006-LAKE-PK,Lunar,Womens Lazy Dogz Ankle Wellingtons Pink,35.0,17.5,45.0,45.0,34.08,45.0,2.0,,,,,,5,50.0,
FLE030-IVES-BEIGE,Lunar,Womens Lunar St Ives Leather Casual Trainer Beige,40.5,15.99,45.0,,38.38,43.52,0.0,35.55,35.55,35.55,0.72,0.92,3,60.5,55.0
FLE030-IVES-BLACK,Lunar,Womens Lunar St Ives Leather Casual Trainer Black,32.0,15.99,45.0,38.55,37.05,41.13,4.0,28.94,28.8,29.25,3.14,3.42,6,50.0,44.7
FLE030-IVES-BLACKSOLE,Lunar,Womens Lunar St Ives Leather Casual Trainer All Black Sole,32.5,15.99,45.0,39.99,39.07,40.67,9.0,29.47,29.25,29.7,5.15,5.41,6,50.8,45.7
FLE030-IVES-GREY,Lunar,Womens Lunar St-Ives Leather Casual Trainer Grey,40.5,15.99,45.0,,41.42,43.99,0.0,35.85,34.65,36.45,3.79,4.39,5,60.5,55.4
FLE030-IVES-KHAKI,Lunar,Womens Lunar St Ives Leather Casual Trainer Khaki,33.0,15.99,45.0,40.55,34.58,41.05,3.0,31.5,31.5,31.5,0.43,0.41,5,51.5,49.2
FLE030-IVES-MIDBLUE,Lunar,Womens Lunar St Ives Leather Casual Trainer Mid Blue,32.0,15.99,45.0,37.95,35.45,40.23,16.0,27.39,26.55,29.25,9.94,9.82,6,50.0,41.6
FLE030-IVES-NAVY-BLUE,Lunar,Womens Lunar St Ives Leather Casual Trainer Navy,34.0,15.99,45.0,37.34,36.9,40.49,3.0,28.98,27.45,29.25,20.14,24.13,7,53.0,44.8
FLE030-IVES-RED,Lunar,Womens Lunar St Ives Leather Casual Trainer Red,39.99,15.99,45.0,43.74,41.66,43.74,1.0,32.84,32.84,32.84,1.61,1.56,2,60.0,51.3
FLE030-IVES-STONE,Lunar,Womens Lunar St Ives Leather Casual Trainer Beige,32.0,15.99,45.0,24.92,24.92,43.45,1.0,27.5,26.55,28.8,3.16,3.16,5,50.0,41.8
FLE030-IVES-WHITE,Lunar,Womens Lunar St Ives Leather Casual Trainer White,33.0,15.99,45.0,39.55,37.43,40.53,29.0,28.87,28.35,29.25,10.05,11.16,7,51.5,44.6
FLE051-WHITE-IVA,Lunar,Womens Lunar Pump Shoes White Floral,30.0,16.99,50.0,36.14,36.14,45.62,1.0,,,,,,4,43.4,
FLN002-NATASHA,Lunar,Womens Lunar Elasticated Comfort Shoes Black,35.0,11.5,35.0,,,,,32.51,32.2,32.9,0.45,0.64,2,67.1,64.6
FLN038-ESTHER-BK,Lunar,Womens Lunar Comfort Wedge Shoes Black,37.0,11.5,37.0,,18.25,18.25,0.0,,,,,,1,68.9,
JLH321-BLAISE-BLACK,Lunar,Womens Lunar Blaise Open Toe Strap Sandals Black,26.04,11.99,35.0,,26.69,31.07,0.0,,,,,,5,54.0,
JLH321-BLAISE-SILVER,Lunar,Womens Lunar Blaise Open Toe Strap Sandals Silver,20.0,11.99,35.0,36.48,35.52,36.66,1.0,,,,,,5,40.0,
JLH331-MARIELLA-BEIGE,Lunar,Womens Lunar Mariella Open Toe Sandals Beige,24.0,11.99,35.0,,27.99,36.46,0.0,,,,,,5,50.0,
JLH331-MARIELLA-WHITE,Lunar,Womens Lunar Mariella Open Toe Sandals White,35.0,11.99,35.0,,17.72,24.13,0.0,,,,,,5,65.7,
JLH356-DEANNAII-PK,Lunar,Womens Lunar Two Strap Sandals Pink,45.0,14.99,45.0,,34.49,34.49,0.0,39.15,39.15,39.15,1.27,1.4,1,66.7,61.7
JLH356-DEANNAII-WT,Lunar,Womens Lunar Two Strap Sandals White And Blue,45.0,14.99,45.0,,44.98,44.99,0.0,,,,,,3,66.7,
JLH358-CLUSTER-NAVY,Lunar,Womens Lunar Wedged Sandals Navy,20.0,13.99,43.0,32.64,31.75,36.0,2.0,,,,,,4,30.0,
JLH455-CHARL-BLK,Lunar,Womens Lunar Charlotte II Soft Footbed Toe Post Womens Sandals Black,15.0,12.99,40.0,,36.24,39.24,0.0,,,,,,5,13.4,
JLH478-EPSOM-NAVY,Lunar,Womens Lunar Wedge Sandals Navy,20.0,11.99,37.0,23.9,23.9,33.0,3.0,,,,,,5,40.0,
JLH523-PARADISE-BK,Lunar,Womens Lunar Leopard Detail Sandals Black,40.0,12.99,40.0,,38.51,39.99,0.0,,,,,,2,67.5,
JLH950-BLAZE-BLACK,Lunar,Lunar Womens Blaze Sandal Patent Heel T-Bar Black,25.18,12.99,39.0,35.4,34.38,36.95,4.0,,,,,,6,48.4,
JLH950-BLAZE-NAVY,Lunar,Lunar Womens Blaze Sandal Patent Heel T-Bar Navy,24.0,12.99,39.0,30.91,29.63,32.53,3.0,,,,,,6,45.9,
JLH950-BLAZE-NUDE,Lunar,Lunar Womens Blaze Sandal Patent Heel T-Bar Nude,26.91,12.99,39.0,31.25,29.8,35.13,1.0,25.74,25.74,25.74,0.37,0.37,6,51.7,49.5
L7514-14,Rieker,Womens Rieker Fleece Lining Zip Boots Navy,72.0,34.2,80.0,79.07,49.17,79.31,3.0,66.4,66.4,66.4,1.45,1.79,5,52.5,48.5
L830B,Cipriata,Womens Cipriata Press Stud Fold Down Biker Style Ankle Boots Brown,45.0,17.95,45.0,,30.16,33.02,0.0,,,,,,6,60.1,
M014A,Goor,Mens Goor Brogue Oxford Shoes Black,40.0,15.98,40.0,,34.28,44.26,0.0,,,,,,8,60.0,
M014B,Goor,Mens Goor Brogue Oxford Shoes Brown,40.0,15.98,40.0,,30.09,34.63,0.0,36.0,36.0,36.0,0.48,0.52,7,60.0,55.6
M113BT,R21,Mens R21 Imitation Nubuck 6 Eye Ankle Boots Brown,50.0,17.75,50.0,,30.62,34.91,0.0,,,,,,6,64.5,
M113DB,R21,Mens R21 Imitation Nubuck Ankle Boots Brown,50.0,17.75,50.0,,33.48,39.58,0.0,,,,,,4,64.5,
M196A,Roamers,Mens Roamers Extra Wide Smart Casual Shoe Black,50.0,22.95,58.0,47.72,45.43,69.59,4.0,47.56,47.56,47.56,0.68,0.8,8,54.1,51.7
M291AP,Goor,Mens Goor Smart Oxford Tie Shoes Patent Black,35.0,15.98,40.0,33.17,28.84,33.17,1.0,31.99,31.99,31.99,0.47,0.55,7,54.3,50.0
M404A,Roamers,Mens Roamers Wide Touch Shoes Black,53.55,22.95,60.0,,42.85,55.62,0.0,,,,,,8,57.1,
M410B,Goor,Mens Goor 4 Eye Brogue Smart Gibson Shoe Tan,40.0,15.98,40.0,36.5,27.17,38.95,6.0,35.14,33.6,36.0,5.64,7.83,7,60.0,54.5
M620A,Scimitar,Mens Scimitar Smart Capped Oxford Cadet Shoe Black,36.0,14.95,36.0,,25.27,29.83,0.0,30.21,28.8,33.84,3.62,7.84,12,58.5,50.5
M710AP,Goor,Mens Goor Smart Patent Oxford Tie Tuxedo Dress Shoe Black,35.0,15.98,40.0,34.18,30.08,35.75,1.0,31.13,29.59,32.39,5.78,6.11,9,54.3,48.7
M968BC,Goor,Mens Goor Tan Navy Lace Up Smart Brogue Oxford Shoes,36.0,15.45,40.0,34.35,31.78,37.1,12.0,31.61,29.59,34.4,4.67,6.02,5,57.1,51.1
N42T0-14,Rieker,Womens Rieker Slip On Trainer-style Shoes Blue,30.0,30.85,72.0,,59.78,72.67,0.0,,,,,,6,-2.8,
R1402-16,Remonte,Womens Remonte Zip Shoes Blue,70.0,35.05,82.0,65.8,65.8,80.94,2.0,63.95,63.95,63.95,0.94,0.79,6,49.9,45.2
SHAKE-II-BLACK,Hotter,Womens Hotter Shake II Shoes Mary Jane Standard and Wide Fit Black,47.4,36.21,79.0,69.0,59.58,72.6,4.0,,,,,,18,23.6,
XM620A,Grafters,Mens Grafters Capped Oxford Cadet School Smart Shoe Black,36.0,14.25,36.0,,26.98,29.72,0.0,31.68,31.68,31.68,0.5,0.62,12,60.4,55.0
Y0783-00,Rieker,Womens Rieker Velvet Fur Lining Boots Black,50.0,28.8,67.0,,48.32,52.98,0.0,41.5,40.87,42.21,3.54,7.05,5,42.4,30.6
